"ID","Device","Custom fields","Status","Order price","Price","Reply","Comments","Service","Order date","Reply date"
"13120","DMPSWUP5HG5F","","Rejected","$0.40","$0.00","Wrong IMEI","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2023-07-19 16:00:28","2023-07-19 16:04:04"
"13341","353909593310837","","Success","$0.01","$0.01","Model: IPHONE 12 PRO (A2341)IMEI: 353909593310837Find My iPhone: ON iCloud Status: CLEAN","","ICLOUD STATUS & FMI CHECKER with IMEI IPHONE & IPADS","2023-07-27 20:52:45","2023-07-27 20:53:08"
"13504","JTWCJ2J75M","","Rejected","$0.40","$0.00","Wrong IMEI","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2023-08-04 07:38:53","2023-08-04 07:42:05"
"13810","jcw3myc2yj","","Rejected","$0.40","$0.00","Wrong IMEI","iPad Pro 4th Gen 11inch Cellular SIGNAL","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2023-08-23 08:05:04","2023-08-23 08:09:06"
"13823","358843062630216","","Success","$0.99","$0.99","NON_SUPPORTED_DEVICE","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2023-08-24 06:40:37","2023-08-24 06:47:04"
"14774","357879431162078","","Success","$0.08","$0.08","Model: iPhone 14 Pro Max 512GB Space Black A2651 US IMEI Number: 357879431162078 Activation Status: Activated Warranty Status: Out Of Warranty Estimated Purchase Date: 20 Sep 2022 Telephone Technical Support: Expired Repairs and Service Coverage: Expired AppleCare Eligible: No Valid Purchase Date: Yes Registered Device: Yes Replaced by Apple: No Loaner Device: No Find My iPhone: ON","","iPhone Checker by IMEI + Act stat. + Warranty + Replaced","2023-10-28 00:17:15","2023-10-28 00:20:05"
"15320","355343086873549","","Success","$0.05","$0.05","Model: iPhone 7 (A1660) IMEI Number: 355343086873549 Find My iPhone: OFF","","ICLOUD STATUS & FMI CHECKER with IMEI IPHONE & IPADS","2023-11-25 17:42:10","2023-11-25 17:49:03"
"15335","H59lmh21q1","","Rejected","$0.40","$0.00","Wrong IMEI","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2023-11-26 22:22:04","2023-11-26 22:26:04"
"15562","F6qp40itf4yj","","Rejected","$0.40","$0.00","Wrong IMEI","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2023-12-10 21:22:50","2023-12-10 21:26:04"
"15563","F6qp40itf4yj","","Rejected","$0.02","$0.00","iPad Air WIFI + Cellular 32GB Silver SN: F6QP40ITF4YJ FMI Error: Serial contains an invalid letter 'i'. It is most likely the number '1'.","","Find My iPhone [ FMI ] (ON/OFF) IMEI/SN (BULK)","2023-12-10 21:57:35","2023-12-10 22:00:04"
"15564","F6qp40tf4yj","","Rejected","$0.02","$0.00","Invalid IMEI/SN","","Find My iPhone [ FMI ] (ON/OFF) IMEI/SN (BULK)","2023-12-10 22:06:34","2023-12-10 22:09:04"
"15649","DLXTV0J1HP34","","Rejected","$0.40","$0.00","Wrong IMEI","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2023-12-16 08:23:38","2023-12-16 08:27:04"
"16250","NT74GXWGHG","","Success","$0.30","$0.30","Model: iPhone 13 Pro Max 128GB Gold IMEI Number: 350750728620200 Serial Number: NT74GXWGHG IMEI2: 350750728510591 Estimated Purchase Date: 2021-11-07 Serial Number: NT74GXWGHG Replaced: No AppleCare: No AppleCare Eligible: No Valid Purchase Date: Yes Purchased Date: marraskuuta 2021 Activated: Yes Registered: Yes Warranty: N/A Warranty Status: N/A Repairs and Service Coverage: N/A Repairs and Service Expiration Date: N/A Find My iPhone: ON iCloud Status: CLEAN Locked Carrier: US AT&T Activation Policy Country: US - United States Simlock: Locked","","Carrier Network Checker - With Simlock status 100% Fast Result By SN","2024-01-17 10:15:42","2024-01-17 10:20:05"
"16251","H0wrnv7x6w","","Success","$0.30","$0.30","Model: IPHONE 15 PRO MAX BLACK 256GB-USA Description: IPHONE 15 PRO MAX BLACK 256GB-USA IMEI Number: 354058249774282 Serial Number: H0WRNV7X6W IMEI2: 354058249631136 Estimated Purchase Date: 2023-12-08 FullModel: IPHONE 15 PRO MAX BLACK 256GB Serial Number: H0WRNV7X6W Replaced: No AppleCare: No AppleCare Eligible: Yes Valid Purchase Date: Yes Purchased Date: December 2023 Activated: Yes Registered: Yes Warranty: Active Warranty Status: Apple Limited Warranty Repairs and Service Coverage: Active Repairs and Service Expiration Date: Expires: December 07, 2024 Find My iPhone: ON iCloud Status: CLEAN Locked Carrier: US AT&T Activation Policy Country: US - United States Simlock: Locked","","Carrier Network Checker - With Simlock status 100% Fast Result By SN","2024-01-17 10:15:42","2024-01-17 10:20:07"
"19634","FFMM82DV0DXT","","Success","$0.35","$0.35","Model Description: SVC IPHONE 12 NAMM 64GB BLU CI/AR Model: iPhone 12 64GB Blue A2172 US IMEI Number: 351440821961227 IMEI2 Number: 351440823771517 MEID Number: 35144082196122 Serial Number: FFMM82DV0DXT Manufacture Date: 19 Feb 2014 Unit Age: 10 years, 6 months and 14 days Assembled In: Foxconn, China Estimated Purchase Date: 19 Mar 2024 Next Activation Policy ID: 23 Locked Carrier: US AT&T Activation Policy Country: United States SIM-Lock Status: Locked","","iPhone Carrier + Simlock Checker Super Fast Bulk Supported","2024-09-05 14:04:05","2024-09-05 14:08:05"
"19635","351440821961227","","Success","$0.99","$0.99","Unlocked","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2024-09-05 14:14:36","2024-09-06 00:34:05"
"19670","356055862267204","","Success","$0.05","$0.05","{""status"":""rejected"",""result"":""Please try again""}","","Samsung Checker - Model - warranty - country - Lock status","2024-09-07 09:03:02","2024-09-07 09:06:04"
"19754","356055862267204","","Success","$0.05","$0.05","{""status"":""rejected"",""result"":""Please try again""}","","Samsung Checker - Model - warranty - country - Lock status","2024-09-11 15:48:38","2024-09-11 15:51:04"
"19998","356055862267204","","Success","$0.99","$0.99","Carrier: T-Mobile","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2024-09-24 17:56:06","2024-09-24 18:00:24"
"20061","MMF2M4DTQ0","service_fields_1: ernestojuniormacedo@gmail.com","Rejected","$10.00","$0.00","Please resubmit your order; timeout.","","LU-Open menu iOS12 To 18.X.X Auto remove - Backup & win Soft 3 methods in one tool","2024-09-27 06:49:55","2024-09-27 07:53:05"
"20151","F2LQ245QG5QR","","Rejected","$6.00","$0.00","ERROR: The device needs to be checked with iBypass LPro Premium tool first!! Download click here: https://mega.nz/folder/UpRCmTbQ#o7CZkFIDNK9Bn0soFSSruw [https://mega.nz/folder/UpRCmTbQ#o7CZkFIDNK9Bn0soFSSruw]","","","2024-10-04 04:44:51","2024-10-04 04:47:06"
"20152","F2LQ245QG5QR","","Success","$7.00","$7.00","{""ERROR"":[{""MESSAGE"":""Your server's IP [2602:ff16:6:0:1:1e2:0:1] address is not authorized. You can add or reset your server's IP by logging into our website and navigating to Profile > API Access.""}],""apiversion"":""2023.21""}","","iBypassSignal (iPhone 6/6 Plus) - iOS 12 Bypass With Signal","2024-10-04 05:02:15","2024-10-07 18:51:05"
"20187","V37KKWGT9F","","Success","$8.00","$8.00","V37KKWGT9F Succesfully Registerd for HFZ MDM UNLOCK UNIVERSAL!","","HFZ MDM Activator ALL IPHONE 4S TILL 16 PRO - IPads/ IPod - (All IOS Support 12-18) Windows Tool","2024-10-07 23:25:53","2024-10-07 23:29:04"
"20189","357415878663102","","Success","$0.99","$0.99","Under_Contract","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2024-10-08 00:29:21","2024-10-08 00:33:03"
"20266","DMPM3V1CF4YH","","Rejected","$6.00","$0.00","{""code"":0,""info"":""INFO: Device SerialNumber: DMPM3V1CF4YH not supported request reject by your seller!!""}","","","2024-10-12 00:44:15","2024-10-12 11:35:04"
"20507","0011656634A20026","","Rejected","$15.00","$0.00","Device not checked by tool.Please download the tool and check your device.https://mega.nz/folder/RoBwCKQS#0rUJhyQDeTeFBkNa6AUb_g ReferenceID 7824647","","LU iPAD OFF REMOVE ICLOUD & MDM IPAD - iPad AIR2 - iPad 6 2018 - iPad 7 2019 - iPad Pro 9.7 - iPad Pro 10.5 - iPad Pro 12.9 - iPad Pro 12.9 second gen","2024-10-27 21:47:01","2024-10-27 21:49:05"
"20508","0011656634A20026","","Success","$15.00","$15.00","ECID registered successfully.","","LU iPAD OFF REMOVE ICLOUD & MDM IPAD - iPad AIR2 - iPad 6 2018 - iPad 7 2019 - iPad Pro 9.7 - iPad Pro 10.5 - iPad Pro 12.9 - iPad Pro 12.9 second gen","2024-10-27 21:58:01","2024-10-27 22:00:32"
"20529","DMPM3V1CF4YH","","Rejected","$6.00","$0.00","{""code"":0,""info"":""INFO: Device SerialNumber: DMPM3V1CF4YH not supported request reject by your seller!!""}","","","2024-10-29 05:00:04","2024-10-29 05:02:07"
"20530","DMPM3V1CF4YH","","Rejected","$7.00","$0.00","use SMD TOOL MAC ","","iBypassSignal (iPad Old - 5th/Air1/Air2/Mini2/Mini3/Mini4/Pro 9.7/Pro 12.9) - iOS 12➾16 iCloud Bypass Full Signal","2024-10-29 05:10:30","2024-10-29 10:58:05"
"20609","DMPM3V1CF4YH","","Rejected","$16.00","$0.00","Pass the check, connect the device to the tool! ReferenceID 0","","SMD GSM/MEID IOS 15 bypass for iPad (iPads before 2017)","2024-11-02 20:12:11","2024-11-02 20:16:04"
"20671","357344094918118","","Success","$0.99","$0.99","Unlocked","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2024-11-06 22:17:03","2024-11-06 22:22:04"
"20906","359330184582870","","Success","$0.99","$0.99","Active_other","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2024-11-23 20:43:40","2024-11-23 20:49:05"
"21011","359330184300992","","Success","$0.99","$0.99","No_Longer_Active_On_AT&T_Account","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2024-11-28 23:04:43","2024-11-28 23:10:07"
"21374","353629308113389","","Success","$0.12","$0.12","Model: iPhone 15 Pro (A2848) Model Description: IPHONE 15 PRO BLACK 128GB-USA IMEI: 353629308113389 IMEI 2: 353629308737104 Serial Number: D2JKG3DJMQ Purchase Country: United States Estimated Purchase Date: 26 Oct 2023 Demo Unit: No Carrier: US AT&T Locked Activation Policy Next Tether Policy: 23 Country: United States Sim-Lock: Locked","","Simlock Checker + carrier fast (IMEI/SN)","2024-12-15 02:09:55","2024-12-15 02:14:04"
"21640","0x001e594628fae03a","","Success","$9.50","$9.50","{""code"":200,""msg"":""Success Registered""}","","LPro AIO - BootDisk iPad Pro 12.9 wifi-cellular A10X ( A1670 - A1709) passcode bypass","2025-01-05 18:43:10","2025-01-05 18:46:06"
"21705","F2LQ245QG5QR","","Rejected","$10.50","$0.00","Pass the check, connect the device to the tool! ReferenceID 0","","SMD GSM/MEID bypass for 6-6P","2025-01-07 22:43:36","2025-01-07 22:47:03"
"22135","352032771385686","","Success","$0.01","$0.01","MANUFACTURER: Samsung MODEL: SM-F721U IMEI: 352032771385686 SIM LOCK STATUS: LOCKED","","SIMLOCK Checker for - iPhones - Samsung - Xiaomi By Imei","2025-02-01 03:12:21","2025-02-01 03:14:03"
"22141","X0n6GwXH7Q","","Success","$37.00","$37.00","SN X0N6GWXH7Q authorized","","LPRO Macbooks MDM bypass - T2, M1, M2, M3 M4 Ventura, Sonoma SUPPORTED 2025","2025-02-01 18:07:04","2025-02-01 18:10:04"
"22690","357861961038647","","Success","$0.99","$0.99","Unpaid_Payments","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2025-03-08 16:45:45","2025-03-08 16:48:04"
"22737","351855180410369","","Success","$0.99","$0.99","Unpaid_Payments","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2025-03-09 04:46:14","2025-03-09 04:55:06"
"23307","35793426545858","","Success","$10.00","$10.00","Work ID : # IMEI/SN : Status :","","SAMSUNG FRP Account Removal (WorldWide) By Imei/Serial - S1 ✅","2025-03-26 18:46:14","2025-03-26 18:50:05"
"24862","352271526072484","","Success","$0.00","$0.00","Work ID : #703230 Model: SM-A156U IMEI1: 352271526072484 Serial: R5CXA2N92TR CSC: BST Manufacture Date: 2024-10-17","","","2025-06-08 23:18:08","2025-06-08 23:21:05"
"24982","352343191697547","","Success","$0.99","$0.99","Lost_or_Stolen","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2025-06-15 02:41:21","2025-06-15 02:46:06"
"25599","00145DC418381426","","Success","$6.00","$6.00","Registered successfully","","LU WIFI Bypass iOS 12-18.x Fully Supported Hello No Signal ( Check list and descritpion )","2025-07-25 18:37:38","2025-07-25 18:39:06"
"25600","000005b74b3049d0","","Success","$6.00","$6.00","Registered successfully","","LU WIFI Bypass iOS 12-18.x Fully Supported Hello No Signal ( Check list and descritpion )","2025-07-25 18:38:58","2025-07-25 18:40:09"
"25603","DLXM3GT5FLMK","","Rejected","$7.00","$0.00","use Lu Wifi tool bypass iPads ","","SMD Tool - ( No Signal ) Instant - iPad mini 2/3/4 - iPad 5/6/7 - iPad Air 1/2 - iPad Pro 9.7/ 10.5/12.9 (1-2 gen) - iPhone 5s-6-6s-7-8-X","2025-07-25 22:12:26","2025-07-26 23:42:54"
"26255","NDJHFGYHKW","","Success","$0.24","$0.24","IMEI Number: 356240874956792 IMEI2 Number: 356240874575378 Serial Number: NDJHFGYHKW Estimated Purchase Date: 30 May 2023 Next Activation Policy ID: 10 Locked Carrier: Unlock SIM-Lock Status: Unlocked","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2025-09-03 04:38:28","2025-09-03 04:41:09"
"26256","NDJHFGYHKW","","Success","$0.24","$0.24","IMEI Number: 356240874956792 IMEI2 Number: 356240874575378 Serial Number: NDJHFGYHKW Estimated Purchase Date: 30 May 2023 Next Activation Policy ID: 10 Locked Carrier: Unlock SIM-Lock Status: Unlocked","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2025-09-03 04:38:58","2025-09-03 04:41:10"
"26257","NDJHFGYHKW","","Success","$0.24","$0.24","IMEI Number: 356240874956792 IMEI2 Number: 356240874575378 Serial Number: NDJHFGYHKW Estimated Purchase Date: 30 May 2023 Next Activation Policy ID: 10 Locked Carrier: Unlock SIM-Lock Status: Unlocked","","iPhone & iPad iCLoud status + FMI + GSMA Blacklist by SN","2025-09-03 04:49:14","2025-09-03 04:52:08"
"26258","356240874575378","","Rejected","$0.05","$0.00","FMI Error: Unable to check iCloud status.","","ICLOUD STATUS & FMI CHECKER with IMEI IPHONE & IPADS","2025-09-03 04:54:44","2025-09-03 04:56:07"
